,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
0,10.0,1000.0,99.0,-0.4,-0.2,-0.21739015933969724,0.37373163009285565,-0.40198811561923636,0.41366135601134646,0.08558305605630738,0.23787300614730367,0.1560641440397945,0.15033841255218436
1,10.0,1000.0,99.0,-0.4,-0.2,-0.20729873446024596,0.3734475499496415,-0.29945839665763685,0.3811154367191572,0.06679528450219016,0.20400052551444642,0.1392000573826539,0.14537869191265126
2,10.0,1000.0,99.0,-0.4,-0.2,-0.1984784770612643,0.3902556172886164,-0.19036938892947458,0.4260139494051716,0.04560447676031424,0.20693927661266776,0.12519913839420282,0.1360468360084917
3,10.0,1000.0,99.0,-0.4,-0.2,-0.18830251614025945,0.3844949440353753,-0.0969694825371568,0.40370456365111107,0.018722657511267983,0.16613450811264446,0.10794683336250814,0.11596562101911137
4,10.0,1000.0,99.0,-0.4,-0.2,-0.20738575452207705,0.38672300619041494,0.009893402691624188,0.42311061643280606,-0.0024465698366048744,0.20821423514012474,0.1091654400057604,0.11864865829994845
5,10.0,1000.0,99.0,-0.4,-0.2,-0.20656246142747084,0.39099037448826507,0.10128728437795308,0.40057792868406555,-0.01749885872273807,0.17716715654185403,0.10643856875061561,0.11460792216824209
6,10.0,1000.0,99.0,-0.4,-0.2,-0.20653329561696426,0.3795787649210506,0.22316256236070023,0.4093019252050201,-0.044579848743575554,0.19922495817353822,0.12125744342468937,0.123288653396914
7,10.0,1000.0,99.0,-0.4,-0.2,-0.21214727388413818,0.37111994577175406,0.2862343584601613,0.4083925154065763,-0.05553218222858073,0.1950671931904405,0.12915551405543746,0.13081299051309395
8,10.0,1000.0,99.0,-0.4,-0.2,-0.20993935662371557,0.3871021683038967,0.39341093895468676,0.4160297449913901,-0.08156581991566306,0.24289053210509973,0.1453232455313502,0.13729713036416166
9,10.0,1000.0,99.0,-0.3,-0.2,-0.19033134903861534,0.36949403084742466,-0.4177001462606491,0.397123699628642,0.08072526388319463,0.23485027359948957,0.15983164785180157,0.14860647248614056
10,10.0,1000.0,99.0,-0.3,-0.2,-0.18248039174063566,0.38104847270266523,-0.29995395576436873,0.40444932753857626,0.05615446674627248,0.19970464536844287,0.13391752910876842,0.1357189228379467
11,10.0,1000.0,99.0,-0.3,-0.2,-0.20975939435080926,0.3743226777122232,-0.19014721298106962,0.41528604179180756,0.04387275795357252,0.1920553716579362,0.11769205377789065,0.1327240221951588
12,10.0,1000.0,99.0,-0.3,-0.2,-0.20418529397053314,0.3737858856501255,-0.09675436471595572,0.39386974757500426,0.010560632875956589,0.1665762628591858,0.1046489851585992,0.11579890856324303
13,10.0,1000.0,99.0,-0.3,-0.2,-0.19161595907558135,0.3818352705561421,-0.0068086543426455655,0.41585113919987043,-0.0020150025094869506,0.17390130653963776,0.1082090975833634,0.11929520233219237
14,10.0,1000.0,99.0,-0.3,-0.2,-0.18411608497964876,0.3768136702382695,0.09767885873090955,0.41824387672360275,-0.01942541765942558,0.1665691161758058,0.10752149751877636,0.11735140658931222
15,10.0,1000.0,99.0,-0.3,-0.2,-0.2048165867173351,0.37563089936727345,0.22271706538467606,0.41382687558073533,-0.04896746662639174,0.18561521324143326,0.10876454314641033,0.11606189296903487
16,10.0,1000.0,99.0,-0.3,-0.2,-0.1890253163339275,0.36726759965532063,0.29601241658402305,0.4049302311944139,-0.06279346068494762,0.20224681987762994,0.12468545166143358,0.1312849841386615
17,10.0,1000.0,99.0,-0.3,-0.2,-0.20598847010054366,0.3955455235130039,0.4039934843246714,0.4169038272090539,-0.0761513455160064,0.23937509843451396,0.14401326352027774,0.13857776190688723
18,10.0,1000.0,99.0,-0.2,-0.2,-0.21266916012446177,0.36574221075526675,-0.40286231151513147,0.4160962061919175,0.08437654693948204,0.2244728189915972,0.15687193433292485,0.1505930674234471
19,10.0,1000.0,99.0,-0.2,-0.2,-0.1906511139837718,0.39323550593807255,-0.29207875135986866,0.41417728653807784,0.04673221204447518,0.20639385141681055,0.13225827539158058,0.13444549109344198
20,10.0,1000.0,99.0,-0.2,-0.2,-0.19535629218096107,0.3789235370913239,-0.2099425746652404,0.40120575098609157,0.03948106038582591,0.1893943371837834,0.11702918677626233,0.1256233559160987
21,10.0,1000.0,99.0,-0.2,-0.2,-0.16177164480647166,0.3835613141427488,-0.11848844567680482,0.41333991126656155,0.014020154136387849,0.17168950832155533,0.10446065235188638,0.11487419273211687
22,10.0,1000.0,99.0,-0.2,-0.2,-0.21422696144656736,0.3748071575470254,-0.025668220638804327,0.39269347219074263,0.009812031984970378,0.16549173821217947,0.09826035425949269,0.11012907780877755
23,10.0,1000.0,99.0,-0.2,-0.2,-0.1946440553815186,0.37427581598718024,0.11009305331718479,0.40739087289669684,-0.02417150149068177,0.17423231999444772,0.10861490750778656,0.11883074947178074
