,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
0,10.0,1000.0,99.0,-0.4,0.4,0.41302898848178254,0.3712028895647227,-0.4092405538058871,0.3998202083452296,-0.17547303075673443,0.2655477756825083,0.1826396359374774,0.1610691894537737
1,10.0,1000.0,99.0,-0.4,0.4,0.40226977509609596,0.38682131069480336,-0.2822477970052444,0.40593398736704,-0.12596361159825376,0.24377970068663143,0.15745598402630734,0.1425999384873807
2,10.0,1000.0,99.0,-0.4,0.4,0.4151169177311345,0.378122951105947,-0.1894458999407372,0.40145652100334317,-0.07209188017821713,0.24426530414714137,0.13814773178228074,0.13393103200782291
3,10.0,1000.0,99.0,-0.4,0.4,0.3707419135693319,0.378784886140608,-0.11425871564293416,0.4012891612023195,-0.052810071733059974,0.22074567939304968,0.12618451853138696,0.13244900295851347
4,10.0,1000.0,99.0,-0.4,0.4,0.3887172635851384,0.3684513457160784,-0.012293560226385433,0.41934303119900945,-0.007907965267295283,0.22882921218862765,0.12947418831880422,0.1333014564165766
5,10.0,1000.0,99.0,-0.4,0.4,0.3905191364796249,0.3959936964542915,0.11017731517275382,0.4143257504868155,0.042016722535652286,0.23530116457375563,0.13903446776364156,0.14319166153579455
6,10.0,1000.0,99.0,-0.4,0.4,0.395818505964548,0.39272772665230127,0.22344656436517643,0.3961128637612368,0.08898909935226458,0.23129054371829905,0.15616751400124562,0.1504165616471744
7,10.0,1000.0,99.0,-0.4,0.4,0.3890729110267666,0.3753903640238244,0.28070175406184034,0.3966064218525394,0.10711018570016989,0.2310149231150215,0.16579599079781582,0.16181997668108902
8,10.0,1000.0,99.0,-0.4,0.4,0.41061552630095355,0.3757614532567225,0.41295338237092655,0.41780068782393237,0.16717644057937303,0.2621129130705003,0.20317993601039802,0.17754531558366748
9,10.0,1000.0,99.0,-0.3,0.4,0.4250551707148121,0.36978663204041856,-0.368307769626404,0.39669347173131814,-0.16123651083057278,0.26427884928473044,0.18256004031293077,0.1562375460140064
10,10.0,1000.0,99.0,-0.3,0.4,0.4043453834058631,0.3746526384763794,-0.3243421904861399,0.40378693214428074,-0.13272619445165984,0.2592481083930422,0.167204282783521,0.1535675663474587
11,10.0,1000.0,99.0,-0.3,0.4,0.41143224061797107,0.38237112265535694,-0.19424670148898354,0.4069453134955348,-0.0793975489996098,0.24436698570047125,0.1436018492630592,0.13966133038495987
12,10.0,1000.0,99.0,-0.3,0.4,0.4008227239088904,0.3864012881674096,-0.08017242522228969,0.3974149610488719,-0.03940489534169341,0.22269563042744497,0.13402708019110202,0.13398037659804943
13,10.0,1000.0,99.0,-0.3,0.4,0.42320391463228246,0.4031173781267187,0.009307144512260302,0.41649347004700504,-0.007941118999123222,0.2544380285313914,0.1382941365808833,0.13285761449105793
14,10.0,1000.0,99.0,-0.3,0.4,0.4094297658848249,0.3795372217106575,0.0836034434496344,0.40162539521989954,0.03433594646949046,0.22225054587224216,0.1422255749951004,0.1415468448845297
